id	Degree	Closeness	Betweenness	Kingdom	Phylum	Class	Order	Family	Genus
ASV_1026	1566	0.000395882818685669	302.551614048996	Bacteria	Desulfobacterota	NA	NA	NA	NA
ASV_1027	1309	0.000359324469996407	228.234344906883	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_1028	1526	0.00038971161340608	291.456767819976	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_103	1699	0.000417885499373172	397.555861049049	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas
ASV_1030	1452	0.000378787878787879	253.452374563292	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
ASV_1031	1648	0.000409165302782324	351.420860602642	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Catellatospora
ASV_1032	1209	0.000346860908775581	208.619925632025	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus
ASV_1033	1545	0.000392618767177071	318.38175424963	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria
ASV_1035	1199	0.000345661942620118	188.609190101234	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA
ASV_1036	1239	0.000350508236943568	195.013433040619	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium
ASV_1037	1539	0.000391696043869957	297.52145094085	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_104	1726	0.000422654268808115	381.840663649829	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylobacillus
ASV_1040	1348	0.000364431486880466	240.052035677808	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	NA
ASV_1042	1638	0.000407497962510187	316.978332528445	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA
ASV_1043	1114	0.000335795836131632	164.193301794181	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans
ASV_1044	1467	0.000380952380952381	282.852357250953	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_1045	1453	0.000378931413414172	281.992896829236	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_13
ASV_1046	1590	0.000399680255795364	325.814422037445	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter
ASV_1048	1631	0.000406338886631451	340.407261495318	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum
ASV_1049	1489	0.000384172109104879	279.374623984149	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_105	1477	0.000382409177820268	293.803015411641	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	A21b	NA
ASV_1050	1239	0.000350508236943568	188.476829133531	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter
ASV_1052	1536	0.000391236306729264	301.656609391385	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas
ASV_1053	1396	0.000370919881305638	233.9548884863	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
ASV_1054	1144	0.00033921302578019	169.68436321243	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
ASV_1055	1387	0.000369685767097967	232.04635486708	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_1056	1694	0.000417014178482068	373.37429075844	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter
ASV_1057	901	0.000313381385145722	99.7346778311513	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
ASV_1058	1528	0.000390015600624025	285.805253735812	Bacteria	Acidobacteriota	Subgroup_5	NA	NA	NA
ASV_1059	1746	0.000426257459505541	415.082912387546	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Pseudoflavitalea
ASV_106	1774	0.000431406384814495	419.896520455304	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium
ASV_1060	1696	0.000417362270450751	375.535107497455	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
ASV_1061	1452	0.000378787878787879	258.479818755523	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_1062	954	0.000318674314850223	113.226467413584	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas
ASV_1063	1556	0.000394321766561514	301.430216590328	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
ASV_1064	1620	0.00040453074433657	311.910901690182	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
ASV_1065	1757	0.000428265524625268	374.369867168716	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_1066	1397	0.000371057513914657	263.248737456532	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas
ASV_1069	1579	0.000397930760047752	299.749735002604	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
ASV_107	1457	0.000379506641366224	296.090971061057	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_1072	1548	0.000393081761006289	309.47867467898	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella
ASV_1074	1505	0.000386548125241593	277.11310107602	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
ASV_1075	1364	0.000366568914956012	247.777003079641	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
ASV_1076	1656	0.000410509031198686	331.588021330015	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
ASV_1079	1525	0.000389559797428905	287.093456532674	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
ASV_108	1832	0.000442477876106195	455.853939295108	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
ASV_1080	1650	0.000409500409500409	349.029297878627	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA
ASV_1081	1284	0.000356125356125356	211.610845660631	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	NA
ASV_1082	1610	0.00040290088638195	303.905009829753	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
ASV_1083	1605	0.000402090872537193	335.507927498311	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga
ASV_1084	1654	0.000410172272354389	345.754720682466	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter
ASV_1085	1652	0.00040983606557377	321.882160837267	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	NA
ASV_1086	1601	0.000401445202729827	318.641549666932	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
ASV_1087	1594	0.000400320256204964	333.299160598963	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067
ASV_1088	1182	0.000343642611683849	184.064488523846	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_1089	1555	0.000394166338194718	294.495604940206	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Turneriella
ASV_109	1403	0.000371885459278542	267.15630283949	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella
ASV_1091	1637	0.000407331975560081	323.230111437572	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_1092	1133	0.000337952010814464	168.100081350937	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter
ASV_1093	1369	0.000367242012486228	245.664215113258	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
ASV_1095	1652	0.00040983606557377	346.947697072351	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Granulicella
ASV_1096	1542	0.000392156862745098	310.315323951364	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
ASV_1097	1716	0.000420875420875421	377.90990738244	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
ASV_1098	1526	0.00038971161340608	319.944299812472	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
ASV_1099	1199	0.000345661942620118	187.590346051373	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Catellatospora
ASV_11	1493	0.000384763370527126	295.859569524342	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium
ASV_110	1699	0.000417885499373172	378.499194610721	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
ASV_1100	1343	0.000363768643142961	220.884183507371	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
ASV_1101	1691	0.00041649312786339	352.168891497859	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Occallatibacter
ASV_1102	1445	0.000377786173026067	250.108167608999	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
ASV_1103	1090	0.00033311125916056	141.123027112176	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_1104	1656	0.000410509031198686	348.285207796047	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella
ASV_1105	1213	0.000347342827370615	188.899769403132	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_1106	1474	0.000381970970206264	276.146386645076	Bacteria	Acidobacteriota	Subgroup_5	NA	NA	NA
ASV_1107	1388	0.000369822485207101	259.001949563039	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
ASV_1109	1537	0.000391389432485323	275.182575081287	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter
ASV_111	1718	0.0004212299915754	402.130541833277	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_1111	1608	0.000402576489533011	338.752683298311	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_1113	1419	0.000374111485222596	245.844810330056	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_1115	1642	0.000408163265306122	329.674374359792	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_1116	1600	0.000401284109149278	321.724278708292	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter
ASV_1117	1451	0.000378644452858766	237.185511399025	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
ASV_1118	1347	0.000364298724954463	224.808129946781	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum
ASV_1119	1412	0.000373134328358209	268.787833278696	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA
ASV_112	1555	0.000394166338194718	321.737429562651	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
ASV_1120	1322	0.00036101083032491	226.346642949925	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_1121	1217	0.000347826086956522	188.910966246766	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_1124	1116	0.000336021505376344	152.909324935816	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
ASV_1125	1480	0.000382848392036753	274.074380842308	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
ASV_1126	1300	0.000358166189111748	196.099186973343	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio
ASV_1127	945	0.000317762948840165	108.017711193137	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
ASV_1128	1315	0.000360100828231905	218.335477711017	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Pseudoduganella
ASV_1129	1398	0.000371195248700817	250.065995079232	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes
ASV_113	1401	0.000371609067261241	262.66670464321	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_1131	1425	0.000374953130858643	255.611417608769	Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	NA	NA
ASV_1132	1570	0.000396510705789056	296.937696998982	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1
ASV_1133	1459	0.000379794910748196	249.170722046207	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
ASV_1134	1337	0.000362976406533575	217.011215234818	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA
ASV_1136	1614	0.000403551251008878	332.968420695752	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
ASV_1137	1286	0.000356379187455453	212.500268463525	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus
ASV_1139	1484	0.000383435582822086	280.891649707964	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_114	1448	0.00037821482602118	281.030385579918	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella
ASV_1140	1568	0.000396196513470681	333.356215332018	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	NA
ASV_1141	1180	0.000343406593406593	170.108699350548	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_1143	1516	0.000388198757763975	303.626951331849	Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA
ASV_1147	1637	0.000407331975560081	358.552072681952	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrocosmicus
ASV_1149	1182	0.000343642611683849	177.222045514715	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter
ASV_115	1243	0.000351000351000351	194.16658901135	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
ASV_1150	1693	0.000416840350145894	391.613527447991	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium
ASV_1153	1484	0.000383435582822086	285.484104088571	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
ASV_1154	1695	0.000417188151856487	349.024781593806	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_1155	1660	0.000411184210526316	331.954973840299	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
ASV_1156	1716	0.000420875420875421	372.605066715065	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
ASV_1158	1370	0.000367376928728876	250.082410117146	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium
ASV_1159	1394	0.000370644922164566	243.779653504125	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_116	1777	0.000431965442764579	412.127974023268	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
ASV_1160	1537	0.000391389432485323	312.348158627282	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
ASV_1161	1778	0.000432152117545376	426.847590991862	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga
ASV_1162	1377	0.000368324125230203	259.126567244254	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
ASV_1164	1644	0.000408496732026144	314.447740693811	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	NA	NA
ASV_1165	1278	0.000355366027007818	192.651056851998	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Archangium
ASV_1166	1425	0.000374953130858643	273.223146227334	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA
ASV_1167	1245	0.000351246926589392	206.600568469759	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalicibacterium
ASV_1168	1480	0.000382848392036753	262.970357471701	Bacteria	Chloroflexi	TK10	NA	NA	NA
ASV_117	1655	0.000410340582683627	359.593918908648	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter
ASV_1170	1581	0.000398247710075667	288.145280194762	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_1171	1654	0.000410172272354389	362.381372125527	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_1172	1496	0.000385208012326656	266.71772565432	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA
ASV_1173	1097	0.000333889816360601	129.043531082023	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
ASV_1174	1028	0.000326370757180157	137.685346726539	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_1176	1119	0.000336360578540195	148.392702778409	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
ASV_1177	1454	0.000379075056861259	262.601824038639	Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	NA	NA
ASV_1179	1583	0.000398565165404544	307.770399719713	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
ASV_118	1164	0.000341530054644809	194.633928172503	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_1181	1490	0.000384319754035357	297.452060288881	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella
ASV_1184	1483	0.000383288616328095	284.17005042912	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Leptothrix
ASV_1185	1128	0.000337381916329285	178.308779326449	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
ASV_1186	1641	0.000407996736026112	343.755512484429	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	NA
ASV_1187	1543	0.000392310710082385	280.573443845203	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea
ASV_119	1532	0.000390625	307.52086884477	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ASV_1190	974	0.00032071840923669	126.51817591424	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_1191	1314	0.000359971202303816	217.355702065554	Bacteria	Chloroflexi	Dehalococcoidia	S085	NA	NA
ASV_1192	1497	0.000385356454720617	289.912472824504	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1
ASV_1193	1461	0.000380083618396047	251.864745233978	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella
ASV_1194	1375	0.000368052999631947	229.892462384153	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
ASV_1195	1347	0.000364298724954463	214.681057077441	Bacteria	Desulfobacterota	NA	NA	NA	NA
ASV_1196	1724	0.000422297297297297	388.561930459415	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
ASV_1198	1305	0.00035880875493362	202.186536488756	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
ASV_12	1605	0.000402090872537193	373.876897526623	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_120	1666	0.000412201154163232	339.753627647424	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella
ASV_1200	945	0.000317762948840165	111.83536470066	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_1202	1413	0.000373273609555804	262.899226683353	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium
ASV_1205	1742	0.000425531914893617	409.044374961998	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA
ASV_1206	1365	0.000366703337000367	252.443977311908	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter
ASV_1207	1557	0.000394477317554241	287.474346316352	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
ASV_1209	1499	0.000385653682992673	292.36101420041	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin517
ASV_121	1658	0.000410846343467543	370.869086211751	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter
ASV_1210	1487	0.000383877159309021	273.005695810317	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter
ASV_1211	1202	0.000346020761245675	174.18982998575	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas
ASV_1212	1593	0.00040016006402561	329.119452320169	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067
ASV_1214	1297	0.00035778175313059	226.534408126884	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter
ASV_1215	1654	0.000410172272354389	333.189176445189	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
