Group	Accu_BS	Accu_PM	Accu_Diff	Avg_BS	Avg_PM	Diff	P_value	FDR	Color	FC
Gemmatimonadaceae	1083.83555244356	880.25988999199	203.575662451568	0.995257623915113	0.808319458211194	0.186938165703919	0	0	Gemmatimonadota	0.231267679881927
KF-JG30-B3	959.597219216756	759.997106401669	199.600112815088	0.881172836746333	0.697885313500155	0.183287523246178	7.19664963808149e-61	9.38693431054107e-61	Proteobacteria	0.262632727327249
Erwiniaceae	594	394.952619938215	199.047380061785	0.545454545454545	0.362674582128755	0.18277996332579	1.64497534348205e-18	1.81098202952152e-18	Proteobacteria	0.503977869783277
Sutterellaceae	1089	890.372668252923	198.627331747077	1	0.817605755971463	0.182394244028537	3.32573445534006e-122	4.98860168301009e-122	Proteobacteria	0.223083365908817
Nitrososphaeraceae	499.087460419603	305.132107523452	193.955352896152	0.45829886172599	0.280194772748808	0.178104088977182	1.77417851581918e-17	1.93546747180274e-17	Crenarchaeota	0.635643867406658
Nannocystaceae	932.866340387969	744.088064155359	188.77827623261	0.856626575195564	0.683276459279485	0.173350115916079	8.20084912078272e-21	9.28398013673515e-21	Myxococcota	0.25370421234602
Acidothermaceae	429	244.825328444285	184.174671555715	0.393939393939394	0.224816646872622	0.169122747066772	1.87087438448632e-17	2.02256690214737e-17	Actinobacteriota	0.752269680290155
Crocinitomicaceae	1051.9383772405	870.252371644718	181.68600559578	0.965967288558767	0.799129817855572	0.166837470703196	3.40847437670557e-251	6.81694875341114e-251	Bacteroidota	0.208773927558974
Propionibacteriaceae	1079.68001183785	900.946399363863	178.733612473988	0.991441700493895	0.827315334585733	0.164126365908162	0	0	Actinobacteriota	0.198384290785987
Methyloligellaceae	1082.08050900446	904.259111458964	177.821397545496	0.9936460137782	0.830357310797947	0.163288702980254	0	0	Proteobacteria	0.196648720805912
Haliangiaceae	1072.38863505145	895.008474644888	177.380160406559	0.98474622135119	0.821862694807059	0.162883526544131	0	0	Myxococcota	0.198188246739158
Oxalobacteraceae	1073.06654935795	900.504824001844	172.561725356107	0.985368732192793	0.826909847568268	0.158458884624525	0	0	Proteobacteria	0.191627763401914
Promicromonosporaceae	1085.82913183294	916.453827273098	169.375304559837	0.997088275328683	0.841555396944994	0.155532878383689	0	0	Actinobacteriota	0.184815971649998
Bacillaceae	1081.52741433541	915.45031863661	166.077095698797	0.993138121520117	0.840633901411029	0.152504220109088	0	0	Firmicutes	0.181415738590967
Nitrosomonadaceae	1080.43032077982	916.76446500263	163.665855777186	0.992130689421319	0.841840647385335	0.150290042035984	0	0	Proteobacteria	0.178525523212461
Mitochondria	1089	927.106400037726	161.893599962274	1	0.851337373772017	0.148662626227983	0	0	Proteobacteria	0.174622459682821
Sandaracinaceae	1068.16903899771	907.536604615828	160.632434381879	0.980871477500189	0.833366946387353	0.147504531112836	0	0	Myxococcota	0.176998297991381
Chitinophagaceae	1079.04390684471	923.412240557941	155.631666286771	0.990857582042895	0.847945124479285	0.14291245756361	0	0	Bacteroidota	0.168539747959953
SC-I-84	1077.9372557941	923.317764424639	154.619491369456	0.989841373548297	0.847858369535941	0.141983004012357	0	0	Proteobacteria	0.167460756553088
Geobacteraceae	1084.29094541061	930.180779168532	154.110166242074	0.995675799275121	0.854160495104254	0.141515304170867	4.10439974166951e-150	6.65578336486948e-150	Desulfobacterota	0.165677650724873
Hymenobacteraceae	1089.12304108157	935.591482774977	153.531558306594	1.00011298538253	0.859129001629915	0.140983983752612	8.67291455904599e-233	1.7061471263697e-232	Bacteroidota	0.164101064549263
Peptostreptococcaceae	1075.50458112531	923.324881191293	152.179699934014	0.98760751251176	0.8478649046752	0.139742607836561	3.47986248424786e-91	4.97123212035409e-91	Firmicutes	0.164817068221609
Thermomonosporaceae	1073.03816237752	922.050021432777	150.988140944747	0.98534266517679	0.846694234557187	0.138648430619603	0	0	Actinobacteriota	0.1637526570523
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Patescibacteria	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	NB1-j	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Bdellovibrionota	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Firmicutes	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Acidobacteriota	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	RCP2-54	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Planctomycetota	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	NA	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Myxococcota	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Proteobacteria	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Desulfobacterota	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Actinobacteriota	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Chloroflexi	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Bacteroidota	0.159300349729272
Unassigned	1078.96067154934	930.699858583938	148.260812965406	0.990781149264779	0.854637152051367	0.136143997213413	0	0	Armatimonadota	0.159300349729272
Nakamurellaceae	1086.83151593872	939.890327685005	146.94118825371	0.998008738235735	0.863076517617085	0.13493222061865	1.96046370872643e-34	2.30642789261933e-34	Actinobacteriota	0.156338653484852
Comamonadaceae	1072.64276566496	926.429366013786	146.213399651171	0.984979582796104	0.850715671270694	0.134263911525409	0	0	Proteobacteria	0.157824659941744
Fibrobacteraceae	1063.15297280848	917.181635402447	145.971337406038	0.976265356114311	0.842223723969189	0.134041632145122	0	0	Fibrobacterota	0.159152049901204
A21b	1075.70896368242	930.546875761146	145.162087921273	0.987795191627565	0.854496671956975	0.13329851967059	0	0	Proteobacteria	0.155996534621146
BIrii41	1065.37981505232	921.432316266423	143.947498785898	0.978310206659615	0.846127012182207	0.132183194477408	0	0	Myxococcota	0.156221456795831
Gaiellaceae	1077.27659952801	935.217595510406	142.059004017604	0.989234710310385	0.858785670808453	0.130449039501932	0	0	Actinobacteriota	0.151899413248394
Saccharimonadaceae	1075.99604978051	940.005904477721	135.990145302787	0.988058815225444	0.863182648739872	0.124876166485572	0	0	Patescibacteria	0.144669458622545
Rhodocyclaceae	1082.67077140899	947.088128918734	135.582642490259	0.99418803618824	0.869686068795899	0.124501967392341	3.00018939912551e-133	4.61567599865463e-133	Proteobacteria	0.143157366617033
AKYH767	1056.21809280366	923.449813728796	132.768279074868	0.969897238570857	0.84797962693186	0.121917611638997	2.04011434105194e-85	2.84667117356085e-85	Bacteroidota	0.143774222595555
Pseudonocardiaceae	1076.90984225847	944.239739277851	132.670102980622	0.988897926775457	0.867070467656429	0.121827459119028	0	0	Actinobacteriota	0.14050468060377
Polyangiaceae	1072.37605517154	942.555060963456	129.820994208083	0.984734669579007	0.865523471959096	0.119211197619911	0	0	Myxococcota	0.137733061531051
Cellvibrionaceae	1076.36180699572	950.03541332547	126.326393670245	0.988394680436837	0.872392482392534	0.116002198044302	0	0	Proteobacteria	0.132970194477338
Pedosphaeraceae	1077.63187370043	951.495853179118	126.136020521309	0.989560949219859	0.873733565821045	0.115827383398814	0	0	Verrucomicrobiota	0.132566022331958
Steroidobacteraceae	1068.5368762447	943.072495741494	125.464380503201	0.98120925274995	0.865998618679058	0.115210634070892	0	0	Proteobacteria	0.133037895887903
Bryobacteraceae	1084.27261826394	960.455250070442	123.817368193503	0.995658969939343	0.881960743866338	0.113698226073005	1.68529923438923e-184	3.06418042616224e-184	Acidobacteriota	0.128915291143883
Solibacteraceae	1085.98210448685	962.628697822646	123.353406664208	0.997228746085266	0.883956563657159	0.113272182428107	6.39636800811919e-305	1.32338648443845e-304	Acidobacteriota	0.128142249387764
Bacteriovoracaceae	1070.84507529816	950.086760449252	120.758314848908	0.983328811109422	0.872439633103078	0.110889178006343	0	0	Bdellovibrionota	0.127102407775694
Rhizobiales_Incertae_Sedis	1072.19817109561	954.682601661773	117.515569433835	0.984571323320117	0.876659872967652	0.107911450352466	0	0	Proteobacteria	0.123093863059073
Flavobacteriaceae	1068.83735293362	951.333311817123	117.504041116499	0.981485172574492	0.873584308372014	0.107900864202479	0	0	Bacteroidota	0.123515112586625
Ilumatobacteraceae	1076.36494673538	959.076757047983	117.288189687392	0.98839756357702	0.880694910053244	0.107702653523776	0	0	Actinobacteriota	0.122292807979627
Dongiaceae	1066.35285055832	954.049941315256	112.302909243059	0.979203719520951	0.876078917644863	0.103124801876087	0	0	Proteobacteria	0.117711772077926
Rhizobiaceae	1072.4923512406	960.364272917487	112.128078323118	0.984841461194311	0.881877201944432	0.102964259249879	0	0	Proteobacteria	0.116755778494847
Alicyclobacillaceae	1075.32004161785	964.31237890103	111.007662716821	0.987438054745502	0.885502643618944	0.101935411126558	4.41125669362143e-151	7.25138086622701e-151	Firmicutes	0.115115874425806
Roseiflexaceae	1068.654782614	958.100357658173	110.554424955826	0.981317523061524	0.879798308226054	0.10151921483547	0	0	Chloroflexi	0.115389190779605
Caulobacteraceae	1068.36167014618	957.966566751041	110.395103395139	0.981048365607145	0.879675451562021	0.101372914045123	0	0	Proteobacteria	0.115238993955235
Glycomycetaceae	1067.65272642247	957.978906930458	109.67381949201	0.980397361269484	0.879686783223561	0.100710578045923	1.18492486430675e-224	2.29340296317435e-224	Actinobacteriota	0.114484586976372
Leptospiraceae	1051.4981188589	941.972419794662	109.525699064239	0.965563010889716	0.864988447928982	0.100574562960733	3.75156124702393e-221	7.14583094671225e-221	Spirochaetota	0.116272723874564
Clostridiaceae	1082.20211898338	972.885458926492	109.316660056886	0.993757685016876	0.893375077067486	0.10038260794939	2.66142781447932e-191	4.91340519596182e-191	Firmicutes	0.112363340467138
TRA3-20	1080.45284292663	973.790035727036	106.662807199593	0.992151370915178	0.894205726103798	0.0979456448113799	2.13108517388786e-155	3.55180862314643e-155	Proteobacteria	0.109533681067046
Micrococcaceae	1067.11190390377	961.010226735652	106.101677168119	0.979900738203647	0.882470364311894	0.0974303738917531	0	0	Actinobacteriota	0.110406397576563
Sphingomonadaceae	1069.2182771877	963.575964177405	105.6423130103	0.981834965277966	0.884826413386047	0.0970085518919194	0	0	Proteobacteria	0.109635687208621
Herpetosiphonaceae	1057.77913996935	952.567265947923	105.21187402143	0.971330707042565	0.87471741593014	0.0966132911124244	4.10156793749934e-285	8.34217207626984e-285	Chloroflexi	0.110450860304056
Nocardioidaceae	1072.26402677009	967.649860129345	104.614166640746	0.984631796850405	0.888567364673411	0.0960644321769932	0	0	Actinobacteriota	0.108111591755682
Xanthomonadaceae	1061.98037293264	957.719407017327	104.260965915316	0.975188588551555	0.879448491292311	0.0957400972592434	0	0	Proteobacteria	0.108863791577558
Xanthobacteraceae	1070.23641798648	966.54918766373	103.687230322748	0.982769897140935	0.887556646155859	0.0952132509850765	0	0	Proteobacteria	0.107275689272858
env.OPS_17	1063.76828491284	960.211036562834	103.557248350004	0.976830381003524	0.881736489038415	0.095093891965109	0	0	Bacteroidota	0.107848425405207
Paenibacillaceae	1075.16869986614	971.87338996337	103.29530990277	0.987299081603434	0.892445720811175	0.0948533607922586	0	0	Firmicutes	0.106284739318424
Hyphomicrobiaceae	1076.34848773259	973.349728306959	102.998759425626	0.988382449708526	0.893801403404003	0.0945810463045236	0	0	Proteobacteria	0.105818860816637
67-14	1079.84478465248	976.864606033252	102.980178619226	0.991593007027068	0.897029022987375	0.0945639840396929	0	0	Actinobacteriota	0.105419090816891
Sporichthyaceae	1081.82094448248	980.287995234399	101.532949248082	0.993407662518347	0.900172631069237	0.0932350314491107	6.76667562345556e-162	1.14366348565446e-161	Actinobacteriota	0.103574612503342
Microscillaceae	1058.55160639616	958.629483848123	99.9221225480342	0.972040042604369	0.880284190861454	0.0917558517429147	0	0	Bacteroidota	0.104234351469066
Devosiaceae	1065.13629138034	965.609517794202	99.5267735861339	0.978086585289565	0.886693772079157	0.0913928132104078	0	0	Proteobacteria	0.103071450469429
Unknown_Family	1066.80516219895	967.802257891007	99.0029043079461	0.979619065380122	0.888707307521586	0.0909117578585363	0	0	Proteobacteria	0.102296624646949
Methylophilaceae	1065.48043329598	967.940999460162	97.5394338358144	0.978402601741026	0.888834710248083	0.0895678914929425	0	0	Proteobacteria	0.100770019960116
Rhodanobacteraceae	1067.41861179792	970.613599163594	96.8050126343296	0.980182379979727	0.891288888120839	0.0888934918588885	0	0	Proteobacteria	0.0997358915203217
Gracilibacteraceae	1071.82818614984	975.693328623725	96.134857526116	0.984231575895171	0.895953469810583	0.0882781060845877	1.48065562309206e-59	1.91052338463492e-59	Firmicutes	0.0985297887213397
Intrasporangiaceae	1070.79107698582	975.434693833529	95.3563831522894	0.983279225882294	0.895715972298924	0.0875632535833695	0	0	Actinobacteriota	0.0977578342815884
Planococcaceae	1086.71071874463	996.57921004883	90.131508695802	0.997897813355952	0.915132424287263	0.0827653890686889	1.93258796852615e-176	3.46135158541997e-176	Firmicutes	0.0904408879765675
Pseudomonadaceae	1070.12072269215	980.732490628167	89.3882320639871	0.982663657201243	0.900580799474901	0.0820828577263425	0	0	Proteobacteria	0.0911443568130721
Mycobacteriaceae	1075.70881593453	987.152632518677	88.5561834158555	0.987795055954575	0.906476246573624	0.0813188093809508	0	0	Actinobacteriota	0.0897087041037496
Alcaligenaceae	928.235696132826	840.120302404368	88.1153937284577	0.852374376614165	0.77146033278638	0.0809140438277848	0.00100507985802933	0.00103973778416827	Proteobacteria	0.104884257023997
Beijerinckiaceae	1077.38201796483	990.39559941659	86.9864185482425	0.989331513282675	0.909454177609357	0.0798773356733172	0	0	Proteobacteria	0.0878299727901499
Hyphomonadaceae	1070.98500811781	984.457732449212	86.5272756685993	0.983457307729854	0.904001590862454	0.0794557168674005	1.7114994131235e-50	2.18489286781723e-50	Proteobacteria	0.087893337434944
Rhodobacteraceae	1023.89457965658	939.802896407916	84.0916832486681	0.940215408316422	0.862996231779537	0.0772191765368854	2.65344532722034e-37	3.15260830956872e-37	Proteobacteria	0.0894779996636319
Acidobacteriaceae_(Subgroup_1)	1085.5408048346	1001.80080143592	83.7400033986798	0.996823512244814	0.919927274045843	0.0768962381989713	3.45643399027268e-85	4.7674951589968e-85	Acidobacteriota	0.0835894753514386
Burkholderiaceae	1071.22613218643	987.718228912699	83.5079032737319	0.983678725607375	0.906995618836271	0.0766831067711037	7.74910001469042e-306	1.63138947677693e-305	Proteobacteria	0.0845462813475251
Microbacteriaceae	1066.44257864759	983.027029796857	83.4155488507359	0.9792861144606	0.902687814322183	0.0765983001384168	0	0	Actinobacteriota	0.0848558038815819
Micromonosporaceae	1069.08130920216	988.323018233116	80.7582909690404	0.981709191186553	0.907550980930317	0.0741582102562355	0	0	Actinobacteriota	0.0817124457076972
Nocardiaceae	970.919517203784	892.428936942882	78.4905802609026	0.891569804594843	0.819493973317614	0.0720758312772292	5.81054526605567e-20	6.51649936380075e-20	Actinobacteriota	0.0879516306696431
Oligoflexales_fa	1081.81029388775	1004.41327588746	77.3970180002922	0.993397882357899	0.922326240484352	0.0710716418735465	8.84335447794045e-169	1.53797469181573e-168	Bdellovibrionota	0.0770569444454106
Microtrichaceae	1058.20243055179	981.015650165469	77.1867803863237	0.971719403628827	0.90084081741549	0.0708785862133368	4.64167611055309e-106	6.71085702730567e-106	Actinobacteriota	0.078680478107872
Frankiaceae	804	727.333691079789	76.6663089202106	0.738292011019284	0.667891360036538	0.0704006509827462	8.46562402434034e-12	9.07031145465036e-12	Actinobacteriota	0.10540733897036
Cellulomonadaceae	1064.68178040587	989.136912431689	75.5448679741859	0.977669219840105	0.90829835852313	0.0693708613169751	1.24437500651708e-134	1.9392857244422e-134	Actinobacteriota	0.0763745311945407
Micropepsaceae	1071.41212254065	997.128000975647	74.2841215650027	0.983849515647979	0.915636364532274	0.0682131511157049	1.69487884915705e-207	3.17789784216947e-207	Proteobacteria	0.0744980799780157
Phaselicystidaceae	1044.35685650737	971.169240497852	73.1876160095222	0.959005377876377	0.891799118914465	0.067206258961912	1.45180427329775e-116	2.1508211456263e-116	Myxococcota	0.0753603110123255
NS9_marine_group	1045.14429229481	973.520948696803	71.6233435980105	0.959728459407542	0.893958630575577	0.0657698288319655	1.30463075123229e-31	1.5053431744988e-31	Bacteroidota	0.0735714456826924
Solimonadaceae	1043.88020641419	972.760387081045	71.1198193331434	0.958567682657657	0.893260226888012	0.0653074557696449	1.41682190957967e-33	1.65066630242292e-33	Proteobacteria	0.0731113440449114
Moraxellaceae	1069.35875583483	998.644908573801	70.7138472610314	0.981963963117385	0.917029300802388	0.0649346623149968	4.38914394358394e-49	5.54418182347445e-49	Proteobacteria	0.0708098010152785
Streptosporangiaceae	1072.32041018012	1003.77396574907	68.5464444310524	0.984683572249878	0.921739178832934	0.0629443934169441	1.18786251247272e-149	1.90058001995635e-149	Actinobacteriota	0.0682887251213966
Reyranellaceae	1075.5266454182	1009.15924466939	66.3674007488091	0.987627773570433	0.926684338539387	0.0609434350310459	8.23207337471117e-43	1.01840082986118e-42	Proteobacteria	0.0657650426326437
Pseudohongiellaceae	1014.6916492894	948.930408120049	65.7612411693478	0.931764599898436	0.871377785234205	0.0603868146642312	1.69093860787047e-07	1.76445767777788e-07	Proteobacteria	0.0693003834702999
Catenulisporaceae	277.234416174525	213.635888547393	63.5985276271326	0.254577058011502	0.196176206195953	0.0584008518155488	0.00238905269332317	0.00245031045469043	Actinobacteriota	0.297695897723777
Myxococcaceae	1075.46725894542	1012.32147646448	63.1457824809411	0.987573240537578	0.929588132657925	0.0579851078796522	8.20821472198501e-168	1.40712252376886e-167	Myxococcota	0.0623772032393088
Cytophagaceae	33	95.7355496569083	-62.7355496569083	0.0303030303030303	0.087911432191835	-0.0576084018888047	7.40266557908875e-09	7.79227955693553e-09	Bacteroidota	-1.90107726233056
Solirubrobacteraceae	1081.36720150211	1021.23821311773	60.1289883843781	0.992991002297621	0.937776136930883	0.0552148653667385	8.26226993638574e-170	1.45804763583278e-169	Actinobacteriota	0.0588785139569057
Thermoanaerobaculaceae	1035.89792334845	976.11507940494	59.7828439435111	0.9512377624871	0.896340752437962	0.0548970100491378	4.29186066724514e-10	4.55772814220723e-10	Acidobacteriota	0.0612456924443336
Geodermatophilaceae	1076.00000567087	1018.45703523898	57.5429704318898	0.988062447815307	0.935222254581248	0.0528401932340586	6.36860936070852e-65	8.49147914761136e-65	Actinobacteriota	0.0565001452598224
Phycisphaeraceae	1061.0296305805	1006.8436429935	54.1859875870008	0.974315546905876	0.92455798254683	0.0497575643590458	1.06196913656558e-62	1.40039886140516e-62	Planctomycetota	0.0538176786078701
Iamiaceae	1065.73767372006	1014.49727758103	51.2403961390374	0.978638818843035	0.9315861134812	0.0470527053618343	1.10400148332629e-42	1.35183855101178e-42	Actinobacteriota	0.0505081652473394
Kineosporiaceae	1001.76092262539	990.262718987768	11.498203637625	0.919890654385118	0.909332157013561	0.0105584973715565	2.28900401200663e-122	3.47696811950374e-122	Actinobacteriota	0.0116112657955849
